  0.0428, -0.7925,  1.7571,  0.0345, -0.7718,  1.7243,  0.0556, -0.7943,  1.7614,  0.0471, -0.7693,  1.7183
  0.0253, -0.7971,  1.7678,  0.0172, -0.7821,  1.7496,  0.0386, -0.7990,  1.7727,  0.0304, -0.7796,  1.7437
  0.0076, -0.7950,  1.7623, -0.0003, -0.7856,  1.7585,  0.0212, -0.7971,  1.7677,  0.0133, -0.7833,  1.7528
 -0.0096, -0.7856,  1.7390, -0.0174, -0.7818,  1.7492,  0.0040, -0.7879,  1.7449, -0.0038, -0.7796,  1.7439
 -0.0260, -0.7692,  1.6993, -0.0340, -0.7713,  1.7234, -0.0125, -0.7718,  1.7056, -0.0204, -0.7692,  1.7184
 -0.0414, -0.7465,  1.6450, -0.0495, -0.7545,  1.6828, -0.0282, -0.7492,  1.6517, -0.0361, -0.7526,  1.6782
 -0.0555, -0.7179,  1.5778, -0.0637, -0.7322,  1.6291, -0.0428, -0.7209,  1.5848, -0.0507, -0.7304,  1.6249
 -0.0682, -0.6842,  1.4992, -0.0766, -0.7048,  1.5641, -0.0561, -0.6874,  1.5067, -0.0641, -0.7032,  1.5603
 -0.0799, -0.6456,  1.4106, -0.0883, -0.6730,  1.4894, -0.0683, -0.6490,  1.4184, -0.0764, -0.6715,  1.4860
 -0.0904, -0.6027,  1.3132, -0.0989, -0.6374,  1.4069, -0.0795, -0.6063,  1.3214, -0.0876, -0.6360,  1.4039
 -0.1002, -0.5560,  1.2082, -0.1087, -0.5987,  1.3184, -0.0898, -0.5599,  1.2169, -0.0980, -0.5975,  1.3157
 -0.1092, -0.5062,  1.0971, -0.1178, -0.5580,  1.2261, -0.0995, -0.5104,  1.1066, -0.1077, -0.5570,  1.2238
 -0.1179, -0.4542,  0.9821, -0.1266, -0.5165,  1.1329, -0.1086, -0.4588,  0.9923, -0.1169, -0.5156,  1.1309
 -0.1233, -0.4341,  0.9378, -0.1322, -0.5024,  1.1012, -0.1143, -0.4388,  0.9483, -0.1229, -0.5016,  1.0995
 -0.1236, -0.4716,  1.0209, -0.1328, -0.5360,  1.1762, -0.1146, -0.4759,  1.0306, -0.1234, -0.5352,  1.1745
 -0.1195, -0.5452,  1.1849, -0.1290, -0.6002,  1.3213, -0.1102, -0.5490,  1.1934, -0.1193, -0.5993,  1.3194
 -0.1110, -0.6332,  1.3838, -0.1210, -0.6777,  1.4997, -0.1013, -0.6365,  1.3912, -0.1108, -0.6768,  1.4975
 -0.0981, -0.7222,  1.5894, -0.1085, -0.7563,  1.6856, -0.0876, -0.7249,  1.5961, -0.0975, -0.7551,  1.6829
 -0.0807, -0.8035,  1.7844, -0.0913, -0.8277,  1.8620, -0.0693, -0.8059,  1.7905, -0.0794, -0.8264,  1.8587
 -0.0589, -0.8720,  1.9571, -0.0697, -0.8867,  2.0160, -0.0464, -0.8741,  1.9629, -0.0567, -0.8852,  2.0121
 -0.0345, -0.9236,  2.0966, -0.0454, -0.9296,  2.1371, -0.0209, -0.9255,  2.1022, -0.0313, -0.9280,  2.1325
 -0.0117, -0.9561,  2.1915, -0.0226, -0.9554,  2.2159,  0.0028, -0.9578,  2.1968, -0.0079, -0.9537,  2.2108
  0.0027, -0.9680,  2.2285, -0.0084, -0.9639,  2.2430,  0.0173, -0.9695,  2.2336,  0.0065, -0.9622,  2.2377
  0.0170, -0.9596,  2.2029,  0.0063, -0.9528,  2.2067,  0.0309, -0.9611,  2.2075,  0.0203, -0.9510,  2.2015
  0.0399, -0.9337,  2.1261,  0.0298, -0.9215,  2.1122,  0.0526, -0.9350,  2.1301,  0.0423, -0.9197,  2.1070
  0.0646, -0.8906,  2.0075,  0.0548, -0.8711,  1.9727,  0.0757, -0.8918,  2.0107,  0.0657, -0.8692,  1.9676
  0.0866, -0.8320,  1.8565,  0.0771, -0.8038,  1.8000,  0.0963, -0.8329,  1.8590,  0.0865, -0.8017,  1.7949
  0.1043, -0.7612,  1.6836,  0.0949, -0.7235,  1.6052,  0.1128, -0.7620,  1.6855,  0.1031, -0.7213,  1.6000
  0.1174, -0.6839,  1.5017,  0.1081, -0.6355,  1.4001,  0.1249, -0.6845,  1.5032,  0.1153, -0.6331,  1.3945
  0.1258, -0.6080,  1.3279,  0.1166, -0.5485,  1.2023,  0.1325, -0.6085,  1.3291,  0.1231, -0.5458,  1.1963
  0.1298, -0.5457,  1.1876,  0.1209, -0.4759,  1.0400,  0.1360, -0.5461,  1.1887,  0.1269, -0.4730,  1.0334
